id,cycle_id,date,match,expert_type,factor,impact,value,comment,version
1,001,2026-07-29,ЦСКА - Балтика,EXPERT,team_motivation,positive,0.10,ЦСКА должен лучше начать сезон дома,FAJ_9.0
2,001,2026-07-29,ЦСКА - Балтика,EXPERT,match_style,positive,0.05,Балтика может закрыться и снизить темп игры,FAJ_9.0
3,001,2026-07-29,Динамо М - Крылья Советов,EXPERT,attack_confidence,positive,0.15,Ожидалась сильная атака Динамо дома,FAJ_9.0
4,001,2026-07-29,Акрон - Зенит,EXPERT,favorite_difference,positive,0.25,Большая разница в качестве состава,FAJ_9.0
5,001,2026-07-29,Факел - Динамо Мх,EXPERT,home_factor,positive,0.10,Факел традиционно сильнее дома,FAJ_9.0
6,001,2026-07-29,Спартак - Родина,EXPERT,favorite_confidence,positive,0.20,Разница в классе должна проявиться,FAJ_9.0
7,001,2026-07-29,Оренбург - Ростов,EXPERT,balance_factor,neutral,0.00,Матч близких команд,FAJ_9.0
8,001,2026-07-29,Локомотив - Ахмат,EXPERT,home_advantage,positive,0.10,Преимущество хозяев,FAJ_9.0
9,001,2026-07-29,Рубин - Краснодар,EXPERT,away_quality,positive,0.15,Краснодар выше по качеству состава,FAJ_9.0
10,001,2026-07-29,ALL,EXPERT,uncertainty_adjustment,negative,-0.10,Первый тур сезона повышает риск ошибок,FAJ_9.0
11,001,2026-07-29,ALL,EXPERT,new_season_factor,negative,-0.05,Недостаточно данных по форме после межсезонья,FAJ_9.0
